Symbol,longName,sector,industry,industryKey,marketCap,priceToSalesTrailing12Months,currentRatio,quickRatio,revenueGrowth,grossMargins,trailingPE,forwardPE,PS_adj,pegRatio,dividendYield,earningsGrowth,profitMargins,shortPercentOfFloat,roe,score
GUT,unknown,Financial Services,Asset Management,asset-management,0,0.0,1.055,1.038,21.9,100.0,11.65,0.0,0.0,0,9.63,-21.2,421.40000000000003,2.0500000000000003,17.61,16
GPRK,GeoPark Limited,Energy,Oil & Gas E&P,oil-gas-e-p,605477376,1.19,1.17,1.022,19.6,69.17999999999999,6.52,5.24,0.3,0,0.97,0.0,16.009999999999998,2.71,20.21,16
GSL,unknown,Industrials,Marine Shipping,marine-shipping,0,0.0,2.127,1.754,2.0,68.03,4.09,4.76,0.0,0,5.84,-5.2,50.36000000000001,2.09,23.12,16
TBPH,"Theravance Biopharma, Inc.",Healthcare,Biotechnology,biotechnology,877711488,8.0,13.143,12.911,15.0,71.04,7.59,21.17,1.97,0,0.0,0.0,104.34,13.28,35.69,16
ANIP,"ANI Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,drug-manufacturers-specialty-generic,1767161984,1.91,3.119,2.428,20.5,60.83,19.88,7.22,0.6,0,0.0,86.1,9.98,18.099999999999998,14.49,16
DDI,"DoubleDown Interactive Co., Ltd.",Communication Services,Electronic Gaming & Multimedia,electronic-gaming-multimedia,589685888,1.59,8.196,8.153,12.7,72.52,5.17,4.97,0.38,0,0.0,48.4,30.769999999999996,0.06,10.79,16
GRVY,"Gravity Co., Ltd.",Communication Services,Electronic Gaming & Multimedia,electronic-gaming-multimedia,472733664,0.0,6.559,6.347,18.2,32.1,9.03,0.0,0.0,0,0.0,33.4,13.13,1.28,10.59,16
STC,Stewart Information Services Corporation,Financial Services,Insurance - Property & Casualty,insurance-property-casualty,2080698368,0.64,1.847,1.833,24.3,61.85000000000001,14.92,9.36,0.18,0,3.07,7.1,4.12,3.64,7.04,16
SOR,unknown,Financial Services,Asset Management,asset-management,0,0.0,0.502,0.332,13.8,100.0,6.46,0.0,0.0,0,5.37,130.7,287.06,0.27,14.98,16
SIGIP,"Selective Insurance Group, Inc.",Financial Services,Insurance - Property & Casualty,insurance-property-casualty,0,0.0,0.318,0.191,4.5,22.759999999999998,2.8,0.0,0.0,0,7.3,55.1,9.1,0.0,13.68,16
AVAH,Aveanna Healthcare Holdings Inc.,Healthcare,Medical Care Facilities,medical-care-facilities,2045810176,0.81,1.473,1.365,15.9,32.76,7.76,12.1,0.46,0,0.0,612.3000000000001,10.37,5.07,115.29,16
SHLS,"Shoals Technologies Group, Inc.",Technology,Solar,solar,1469258496,2.5,2.246,1.053,47.4,32.11,45.95,15.84,0.89,0,0.0,-12.5,5.42,11.43,5.6,16
SOHU,Sohu.com Limited,Communication Services,Electronic Gaming & Multimedia,electronic-gaming-multimedia,409490752,0.69,2.955,2.648,4.2,78.28,1.76,-5.98,0.14,0,0.0,0.0,35.19,492.97,30.84,16
ARCO,Arcos Dorados Holdings Inc.,Consumer Cyclical,Restaurants,restaurants,1727437056,0.36,0.803,0.587,12.9,12.21,7.39,9.62,0.27,0,3.36,159.4,4.859999999999999,3.2199999999999998,27.53,16
ABX,"Abacus Global Management, Inc.",Financial Services,Insurance - Life,insurance-life,926610048,3.7,1.908,1.756,34.599999999999994,88.8,25.42,8.47,0.27,0,1.89,45.1,15.629999999999999,20.68,8.73,16
GAB,unknown,Financial Services,Asset Management,asset-management,0,0.0,1.732,1.718,19.400000000000002,100.0,5.83,0.0,0.0,0,10.6,22.400000000000002,847.5,0.0,17.43,16
ECPG,"Encore Capital Group, Inc.",Financial Services,Credit Services,credit-services,2136843648,1.12,25.117,25.117,11.3,100.0,7.66,7.54,0.0,0,0.0,12.9,15.86,6.97,26.29,16
TRC,unknown,Industrials,Conglomerates,conglomerates,0,0.0,2.92,1.629,71.7,16.08,75.14,0.0,0.0,0,0.0,0.0,10.620000000000001,6.32,0.02,16
ALTO,"Alto Ingredients, Inc.",Basic Materials,Specialty Chemicals,specialty-chemicals,350236928,0.37,3.191,1.987,12.5,6.84,6.75,13.49,0.3,0,0.0,0.0,5.510000000000001,7.7299999999999995,5.44,16
GAM,"General American Investors Company, Inc.",Financial Services,Asset Management,asset-management,1610700800,65.96,0.691,0.671,0.8999999999999999,100.0,4.21,0.0,0.0,0,0.0,22.5,1542.3500000000001,0.02,21.7,16
GEL,"Genesis Energy, L.P.",Energy,Oil & Gas Midstream,oil-gas-midstream,1883501312,1.03,0.929,0.882,41.0,35.08,73.24,20.51,0.39,0,5.27,0.0,4.3,4.590000000000001,-184.91,16
VEL,"Velocity Financial, Inc.",Financial Services,Mortgage Finance,mortgage-finance,719746944,2.58,15.552,15.552,13.100000000000001,75.71,6.61,6.08,0.54,0,0.0,-6.9,38.629999999999995,29.67,15.62,16
UAN,unknown,Basic Materials,Agricultural Inputs,agricultural-inputs,0,0.0,3.011,2.095,20.0,46.44,8.52,0.0,0.0,0,11.44,99.9,23.669999999999998,4.42,37.13,16
BWMX,"Betterware de México, S.A.P.I. de C.V.",Consumer Cyclical,Specialty Retail,specialty-retail,617504192,0.04,1.109,0.449,16.8,66.14,6.43,5.93,0.01,0,7.6,13.600000000000001,8.469999999999999,1.08,77.92,16
NEWT,"NewtekOne, Inc.",Financial Services,Banks - Regional,banks-regional,390463904,0.99,14.943,2.315,10.7,86.63,5.98,5.45,0.12,0,5.08,22.900000000000002,16.42,11.450000000000001,17.32,16
CMCL,Caledonia Mining Corporation Plc,Basic Materials,Gold,gold,418127040,1.6,4.662,3.685,13.900000000000002,60.47,6.81,4.24,0.54,0,2.76,79.4,23.77,11.84,21.32,16
PAYS,"Paysign, Inc.",Technology,Software - Infrastructure,software-infrastructure,678137024,6.74,1.139,0.527,48.1,61.0,46.65,20.05,1.36,0,0.0,450.0,15.67,3.53,15.57,16
PAX,Patria Investments Limited,Financial Services,Asset Management,asset-management,1839889664,4.3,1.035,0.919,34.9,56.82000000000001,25.33,7.48,1.21,0,5.79,-18.7,16.31,12.78,14.0,16
CINT,CI&T Inc.,Technology,Software - Infrastructure,software-infrastructure,453719744,0.88,1.374,1.329,23.200000000000003,31.41,11.39,7.47,0.46,0,0.0,16.7,7.9,0.8699999999999999,13.15,16
FBYD,"Falcon's Beyond Global, Inc.",Industrials,Conglomerates,conglomerates,472967328,25.48,0.448,0.326,214.8,68.11,53.61,0.0,-9.33,0,0.0,0.0,51.31,4.31,28.44,16
OPRA,Opera Limited,Communication Services,Internet Content & Information,internet-content-information,1782999552,2.75,1.876,1.828,23.200000000000003,50.99,15.8,11.43,1.04,0,4.09,35.0,17.72,5.2299999999999995,10.71,16
YORW,The York Water Company,Utilities,Utilities - Regulated Water,utilities-regulated-water,514484416,6.17,1.047,0.77,22.5,72.76,19.71,20.75,1.3,0,2.88,40.0,28.53,4.45,8.35,16
BOW,Bowhead Specialty Holdings Inc.,Financial Services,Insurance - Property & Casualty,insurance-property-casualty,1104908416,1.8,0.488,0.131,23.0,31.8,18.13,13.86,0.94,0,0.0,33.300000000000004,10.11,3.6799999999999997,11.97,16
FINS,Angel Oak Financial Strategies Income Term Trust,Financial Services,Asset Management,asset-management,420350592,11.65,0.198,0.198,18.099999999999998,100.0,7.53,0.0,0.0,0,11.02,-18.0,129.96,0.0,10.08,16
AGM,Federal Agricultural Mortgage Corporation,Financial Services,Credit Services,credit-services,2555713792,6.25,1.498,1.479,24.9,100.0,12.87,10.18,0.0,0,2.62,20.8,56.03,0.62,17.13,16
OPY,Oppenheimer Holdings Inc.,Financial Services,Capital Markets,capital-markets,1203847552,0.7,1.245,1.156,24.099999999999998,92.12,12.48,43.92,0.04,0,0.7,24.6,5.99,1.27,15.08,16
RVT,"Royce Small-Cap Trust, Inc.",Financial Services,Asset Management,asset-management,2301051392,84.44,16.532,0.7,11.899999999999999,100.0,6.48,0.0,0.0,0,7.76,49.9,962.14,5.970000000000001,4.05,16
