Symbol,longName,sector,industry,industryKey,marketCap,priceToSalesTrailing12Months,currentRatio,quickRatio,revenueGrowth,grossMargins,trailingPE,forwardPE,PS_adj,pegRatio,dividendYield,earningsGrowth,profitMargins,shortPercentOfFloat,roe,score
WU,The Western Union Company,Financial Services,Credit Services,credit-services,3056078592,0.75,0.345,0.275,-4.7,37.03,6.33,4.99,0.79,0,9.66,-69.19999999999999,12.33,17.8,52.16,12
WULF,TeraWulf Inc.,Financial Services,Capital Markets,capital-markets,6485698048,38.5,2.004,1.884,2.4,50.93,0.0,39.22,18.44,0,0.0,0.0,0.0,26.97,-470.94,2
WVE,Wave Life Sciences Ltd.,Healthcare,Biotechnology,biotechnology,2398368256,56.13,6.467,6.347,-79.4,0.0,0.0,-9.79,100.7,0,0.0,0.0,0.0,9.31,-39.43,2
WWD,"Woodward, Inc.",Industrials,Aerospace & Defense,aerospace-defense,21535246336,5.68,2.051,1.297,29.0,28.1,45.09,35.19,2.9,0,0.35,52.8,12.89,1.23,17.23,6
WWW,"Wolverine World Wide, Inc.",Consumer Cyclical,Footwear & Accessories,footwear-accessories,1304109184,0.7,1.4,0.707,4.6,47.31,14.87,9.44,0.35,0,2.48,36.0,5.11,15.010000000000002,15.59,12
WY,Weyerhaeuser Company,Real Estate,REIT - Specialty,reit-specialty,16803269632,2.43,1.293,0.608,-9.8,14.84,51.8,32.38,2.67,0,3.65,-9.1,4.69,2.66,3.44,6
WYNN,"Wynn Resorts, Limited",Consumer Cyclical,Resorts & Casinos,resorts-casinos,10532612096,1.48,1.633,1.502,1.5,68.17999999999999,32.17,16.89,0.46,0,1.01,-59.3,4.590000000000001,6.959999999999999,-118.82,10
X,unknown,unknown,unknown,unknown,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2
XEL,Xcel Energy Inc.,Utilities,Utilities - Regulated Electric,utilities-regulated-electric,51014402048,3.48,0.707,0.379,14.099999999999998,45.74,23.91,18.06,1.62,0,2.93,20.8,13.76,4.71,8.55,12
XENE,Xenon Pharmaceuticals Inc.,Healthcare,Biotechnology,biotechnology,4622885888,616.38,13.415,13.167,0.0,0.0,0.0,-11.75,0.0,0,0.0,0.0,0.0,7.35,-59.46,2
XERS,"Xeris Biopharma Holdings, Inc.",Healthcare,Biotechnology,biotechnology,944923520,3.24,2.193,1.479,42.8,85.41,0.0,14.81,0.27,0,0.0,0.0,0.19,10.24,4.05,0
XHR,"Xenia Hotels & Resorts, Inc.",Real Estate,REIT - Hotel & Motel,reit-hotel-motel,1429976192,1.33,1.52,1.018,1.4,25.71,22.2,33.44,0.97,0,3.9,0.0,5.8500000000000005,10.42,5.56,10
XIFR,"XPLR Infrastructure, LP",Utilities,Utilities - Renewable,utilities-renewable,969732672,0.82,0.907,0.757,-15.3,58.08,0.0,8.6,0.94,0,39.72,0.0,-2.36,4.760000000000001,-0.88,2
XMTR,"Xometry, Inc.",Industrials,Industrial Distribution,industrial-distribution,1878635392,2.74,3.763,3.559,29.5,39.14,0.0,31.18,1.17,0,0.0,0.0,-8.99,11.84,-22.4,8
XNCR,"Xencor, Inc.",Healthcare,Biotechnology,biotechnology,854395136,6.8,6.254,6.017,-46.5,-90.67,0.0,-3.9,9.97,0,0.0,0.0,-73.2,21.63,-14.46,2
XNET,Xunlei Limited,Technology,Software - Infrastructure,software-infrastructure,456053184,0.99,1.917,1.854,69.69999999999999,47.25,0.0,0.0,0.16,0,0.0,0.0,227.67,2.79,0.38,12
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,oil-gas-integrated,641639907328,1.98,1.153,0.764,-1.3,31.05,23.02,17.94,2.01,0,2.68,-11.0,8.9,1.3,11.12,8
XOMAO,XOMA Royalty Corporation,Healthcare,Biotechnology,biotechnology,0,0.0,3.911,2.277,29.9,95.13,25.45,0.0,0.0,0,8.24,0.0,45.94,0.0,-16.88,14
XOMAP,XOMA Royalty Corporation,Healthcare,Biotechnology,biotechnology,0,0.0,3.911,2.277,29.9,95.13,25.72,0.0,0.0,0,8.37,0.0,45.94,0.0,-16.88,14
XP,XP Inc.,Financial Services,Capital Markets,capital-markets,9512932352,0.54,1.34,1.305,13.3,69.26,9.84,7.85,0.14,0,1.0,14.099999999999998,29.09,3.5700000000000003,,16
XPEL,"XPEL, Inc.",Consumer Cyclical,Auto Parts,auto-parts,1044818304,2.19,3.249,1.427,13.7,42.21,20.46,15.64,1.09,0,0.0,49.1,10.76,11.3,18.28,12
XPER,Xperi Inc.,Technology,Software - Application,software-application,264439984,0.59,2.417,2.097,-4.8,72.25,0.0,5.12,0.62,0,0.0,0.0,-12.57,7.39,-13.61,2
